ENTE,STRUTTURA,INDIRIZZO,"LATITUDINE
LONGITUDINE",TELEFONO,EMAIL,AREA RIFERIMENTO,SERVIZIO
Pianeti Diversi,Angeli Custodi,"Via Castellammare, 50 - 80054 Gragnano (NA)","40.693262, 14.509884", , ,Area Immigrazione,Accoglienza residenziale MSNA
Piccoli Passi Grandi Sogni,Peppino Brancati,"Via Margherita Di Savoia, 22 - 80058 Torre Annunziata (NA)","40.757231, 14.455271", , ,Area Immigrazione,Accoglienza residenziale MSNA
Progenia - Società Cooperativa Sociale,Fondazione Juventus,"Via Carlo Pisacane, 5 - Sala Consilina (SA)","40.395500, 15.595392",0975 23215,,Area Integrazione Socio-Sanitaria,Residenza Sanitaria Assistita (RSA)
Progetto Famiglia,Oasi Don Enrico Smaldone, ,, , ,Area Minori,Accoglienza residenziale minori
Prometeo 82,La Scintilla Di Prometeo,"Via Rocco Cocchia, 30 Salerno (SA)","40.664034, 14.802413",, ,Area Minori,Accoglienza semi residenziale minori
Prometeo 82,Tutti A Casa,"Via Posidonia, 161/6 - 84100 Salerno (SA)","40.667658, 14.789588", , ,Area Immigrazione,Accoglienza residenziale MSNA
Prometeo 82,Ghibli,"Via Michele Conforti, 13","40.679597, 14.770692", , ,Area Minori,Accoglienza residenziale minori
Prometeo 82,Sede Legale,"Via Tanagro, 12 - Salerno (SA)","40.660227, 14.808938",,,Area Integrazione Socio-Sanitaria,Assistenza Domiciliare Integrata (ADI)
Prometeo 82,Palazzo Belvedere,"Strada Provinciale Sicignano-Petina, 35 - 84029 Sicigniano degli Alburni (SA)","40.533588, 15.373418",,,Area Integrazione Socio-Sanitaria,Comunità tutelare
Quipus,I Terribili,"Via Nazionale, 66 Parolise (Av)","40.931092, 14.885785", , ,Area Minori,Accoglienza residenziale minori
RSA Valle D'Argento 2,Nuova Valle d'Argento,Via U. Linguiti - 84095 Giffoni Valle Piana (SA),"40.744056, 14.926589",089 803498,rsa.valledargento@gmail.com,Area Integrazione Socio-Sanitaria,Residenza Sanitaria Assistita (RSA)
Rugiada - Società Cooperativa Sociale,Amaranta - Comunità Educativa A Dimensione Familiare,"Via Trav.Sa Fondo D'orto, 19/F Castellammare Di Stabia (NA)","40.731091, 14.485078", , ,Area Minori,Accoglienza residenziale minori
Rugiada - Società Cooperativa Sociale,Fiori Di Campo,Via San Giorgio 7 - Casola di Napoli (NA),"40.703229, 14.529042", , ,Area Minori,Accoglienza residenziale minori
Rugiada - Società Cooperativa Sociale,La Casa Di Manu,"Via Nazionale Sannitica, 38 Castelvenere (Bn)","41.234212, 14.545604", , ,Area Minori,Accoglienza residenziale minori
S.S.R. Servizi Sanitari Residenziali S.R.L.,Villa Caruso,"Via S. Potito, 12 - 84086 Casali-San Potito (SA)","40.762423, 14.681011",,ssr.villacaruso@gmail.com,Area Integrazione Socio-Sanitaria,Residenza Sanitaria Assistita (RSA)
Salerno Solidale Spa,Immacolata Concezione,Largo Luciani 14 - Salerno (SA),"40.681043, 14.754680",,,Area Persone Anziane,"Casa albergo residenziale
Attività motorie per anziani"
Salerno Solidale Spa,Centro Sociale Polifunzionale Attività Diurne per Anziani,"Via Cantarella, snc - Salerno (SA)","40.670750, 14.799366",,,Area Persone Anziane,Casa albergo semi residenziale
Salerno Solidale Spa,Sede Legale,"Via Guido Vestuti, s.n.c. - 84133 Salerno SA","40.669806, 14.798186",,,Area Persone Anziane,Assistenza domiciliare anziani (ADA)
Santa Rita E Karol,Sede Legale,"Via F. Confalonieri, 10 - Eboli (SA)","40.533785, 14.920578",,,Area Integrazione Socio-Sanitaria,Assistenza Domiciliare Integrata (ADI)
Silba Spa,Villa Silvia,"Via Filomena Galdieri, 12 - 84086 Roccapiemonte (SA)","40.765256, 14.693836",081 5144117,info@villasilvia.it,Area Integrazione Socio-Sanitaria,Residenza Sanitaria Assistita (RSA)
Silba Spa,Villa Alba,"Via P. Atenolfi, 53 - 84013 Cava de' Tirreni (SA)","40.701931, 14.709284",089 441647,silbavilla@gmail.com,Area Integrazione Socio-Sanitaria,Residenza Sanitaria Assistita (RSA)
Social Ubuntu,La Casa Di Daniela,"Via S. Allende, 29 - 80012 Calvizzano (NA)","40.909642, 14.164172", , ,Area Immigrazione,Accoglienza residenziale MSNA
"Società Coop. Di Solid. Sociale ""Sorriso"" SCS",Sede Legale,"Via Tanagro, 12 - Salerno (SA)","40.660227, 14.808938",,,Area Disabilità,Assistenza specialistica all'integrazione scolastica per alunni con disabilità
"Società Coop. Sociale ""Progetto 2000""",Sede Legale,"via Leonado Da Vinci, snc - Pontecagnao Faiano (SA)","40.638916, 14.902748",,,Area Disabilità,Assistenza specialistica all'integrazione scolastica per alunni con disabilità
"Società Coop. Sociale ""Progetto 2000""",Casa Albergo San Francesco Da Paola,"Via Ludovico Ariosto, 2 - 84081 Baronissi SA","40.740451, 14.764081",,,Area Persone Anziane,Casa albergo residenziale
"Società Coop. Sociale ""Raggio Di Sole""",Sede Legale,"Via Tanagro, 12 - Salerno (SA)","40.660227, 14.808938",,,Area Disabilità,Assistenza specialistica all'integrazione scolastica per alunni con disabilità
"Società Coop. Sociale ARL ""Laboratorio Sociale""",Sede Legale,"Via Firenze, 33 - Pontecagnano Faiano (SA)","40.638960, 14.879630",,,Area Disabilità,Assistenza specialistica all'integrazione scolastica per alunni con disabilità
Societa' Coop. Soc. Marianella Garcia Villas Onlus,Casa Giovanna ( Casa Alloggio),Via Corte San Paolo N.14 San Cipriano Picentino (SA),"40.729288, 14.776318",089 881074,coop.marianella@gmail.com,Area Integrazione Socio-Sanitaria,Casa alloggio a bassa attività assistenziale
Societa' Coop. Soc. Marianella Garcia Villas Onlus,Centro Prisma (Polifunzionale Diurno),Via Corte San Paolo N.14 San Cipriano Picentino (SA),"40.729288, 14.776318",089 881074,coop.marianella@gmail.com,Area Disabilità,Centro Diurno Polifunzionale per persone con disabilità
Sol.i.so. APS,Sede Legale,"Via Madonna Del Monte, 33 - Salerno (SA)","40.679250, 14.749215",,,Area Disabilità,Servizio di sostegno socio-educativo-ludico-ricreativo
Strada Facendo,La Medina,"Via Sorrentino, 19 Cava De' Tirreni","40.702323, 14.707299", , ,Area Minori,Accoglienza residenziale minori
Strada Facendo,Scugnizzi In Rada,"Via Rotolo Snc, Cava De' Tirreni","40.700243, 14.723350", , ,Area Minori,Accoglienza residenziale minori
Suore Alcantarine,Centro Orizzonte - Casa Rebecca,"Via Coda, 27 - Cava De' Tirreni (SA)","40.689945, 14.774494", , ,Area Minori,Accoglienza residenziale minori
Suore Alcantarine,Centro Orizzonte - Casa Israele,"Via Coda, 27 - Cava De' Tirreni (SA)","40.689945, 14.774494", , ,Area Minori,Accoglienza residenziale minori
Una Casa Per La Vita Onlus,Una Casa Per La Vita Ets,"Via Gorizia 14, Battipaglia (SA)","40.609375, 14.980836", , ,Area Minori,Accoglienza residenziale minori
Valle D'Argento 2 Srl,Anni Sereni,"Via Dell'Industria, 54 - 84092 Bellizzi (SA)","40.630546, 14.958884",0828 354643,rsa.annisereni@gmail.com,Area Integrazione Socio-Sanitaria,Residenza Sanitaria Assistita (RSA)
Villa Carmela Srl,Villa Carmela Srl,Via Vescovo Capaccio 32,"40.819916, 14.709918",081 969984,villacarmela90@gmail.com,Area Integrazione Socio-Sanitaria,Comunità tutelare
Villa Delle Rose Srl,Villa Delle Rose,"Via Giuseppe De Rosa, 30 - 84013 Cava de' Tirreni (SA)","40.685913, 14.729515",,,Area Integrazione Socio-Sanitaria,Residenza Sanitaria Assistita (RSA)
Vita Nuova,Vita Nuova,"Via Santa Caterina, 18 - 81025 Marcianise (CE)","41.037678, 14.303746",,,Area Immigrazione,Accoglienza residenziale MSNA
