ENTE;STRUTTURA;INDIRIZZO;"LATITUDINE
LONGITUDINE";SITO;TELEFONO;EMAIL;AREA RIFERIMENTO;SERVIZIO;DESCRIZIONE
Cooperativa Sorrisi D’Argento;Casa alloggio Demetra;Via Quarto 34, Sant’Egidio del Monte Albino (SA);40.752525, 14.591354;www.sorrisidargentoonlus.it;081917420;info@sorrrisidargento.it;Area Integrazione Socio-Sanitaria;Casa alloggio a bassa attività assistenziale;" La comunità alloggio per disabili psichici “DEMETRA” offre assistenza con regime  residenziale a soggetti maggiorenni con lieve disabilità psichica, che presentano un grado di autonomia medio-basso, con abilità psico-sociali sufficientemente acquisite, che non hanno la possibilità, per motivi diversi, di vivere all’interno del proprio contesto familiare. Ha lo scopo di: offrire assistenza sociale-sanitaria-riabilitativa, in modo da sostenere e potenziare i livelli residui di autonomia; potenziare le capacità positive e le risorse del paziente,siano esse non solo personali, bensì anche familiari."
Delfino - Società Cooperativa Sociale;Chicco Di Grano;Via Rocco Cocchia, 173 - 84100 Salerno;40.664317, 14.801740;www.coopsocialedelfino.it; 0892962796; info@coopsocialedelfino.it;Area Immigrazione, Area Minori;"Accoglienza residenziale minori
Accoglienza residenziale minori MSNA";Prevede i seguenti servizi:comunità educativa di tipo familiare,centri diurni colonia estiva.
Delfino - Società Cooperativa Sociale;Raggio Di Sole;Via Martiri Ungheresi, 13 Salerno (SA);40.665121, 14.794310;www.coopsocialedelfino.it;0892962796; info@coopsocialedelfino.it;Area Minori;Accoglienza semi residenziale minori; Il Centro diurno polifunzionale “Raggio di Sole” è attivo nel territorio del comune di Salerno, e nasce per rispondere alla sempre più frequente esigenza delle famiglie di minori che si trovino in situazione di disagio socio-ambientale, di ritardo scolastico, o a rischio di emarginazione e per le quali si ravvisi la necessità di un supporto educativo e di un modello positivo che stimoli rapporti familiari e sociali.
Delfino - Società Cooperativa Sociale;Sentiero Di Luna;Viale Dei Romani, 1 Salerno (SA);40.698522, 14.781300;www.coopsocialedelfino.it;0892962796; info@coopsocialedelfino.it;Area Minori;Accoglienza semi residenziale minori;" Centro sociale polifunzionale il cui intervento educativo è caratterizzato dal lavoro svolto dal responsabile della struttura insieme allo staff professionale, non solo nel rapporto individuale con il minore, ma anche: in relazione alla famiglia quale supporto di mediazione fra genitori e figli stimolando i primi ad assumere un ruolo attivo nella crescita educativa dei ragazzi; nel rapporto con la scuola,con un’opera di sensibilizzazione affinché la stessa trovi gli strumenti per realizzare l’effettiva capacità del ragazzo mediante progetti scolastici mirati, stimolando la presa in carico delle situazioni di disagio; nel contesto sociale mediante la ricerca di risorse culturali e sportive, proponendole al minore ed affiancandole al loro utilizzo."
Delfino - Società Cooperativa Sociale;;;;;;;Area Responsabilità Familiari;Educativa domiciliare;
Domus Familia Felix;Domus Familia Felix;Via Tenente Falco, 53 - Mercato San Severino (SA);40.781690, 14.751387;www.empresite.it;335 6516711;domusfamiliafelix@outlook.it;Area Contrasto Alla Povertà, Area Minori;Accoglienza donne maltrattate e donne con bambini; 
Emmaus;Dolce Sentire;Via Fratelli Linguiti, 14/A Salerno (SA);40.681248, 14.759424;www.emmausalerno.it;089861955; direzione@emmaussalerno.it;Area Minori;Accoglienza residenziale minori; La Comunità accoglie minori non accompagnati dai 13 ai 18 anni e garantisce vari servizi quali ad esempio: assistenza sanitaria, sociale e legale, inserimento scolastico, avvio al lavoro, ecc…. L’accoglienza ha finalità di garantire misure di assistenza e di protezione del minore, favorendone il percorso verso il raggiungimento della propria autonomia.
Emmaus;Casa Mercedes;Via Marcello Torrione, 14/1 - 84085 Mercato San Severino (SA);40.778275, 14.737351;www.emmaussalerno.it;089861955;direzione@emmaussalerno.it;Area Immigrazione;Accoglienza residenziale MSNA; 
Emmaus;L'airone;Via Vitoli, 14 Castiglione Dei Genovesi;40.724578, 14.850801;www.emmausalerno.it;089861955;direzione@emmaussalerno.it;Area Minori;Accoglienza residenziale minori; La Comunità accoglie minori dai 4 ai 13 anni. Gli utenti sono italiani e stranieri, di ambo i sessi, in stato di abbandono e con situazioni familiari problematiche, a rischio emarginazione sociale ed a rischio psico-patologico. La struttura può ospitare fino a un massimo di 6 minori.
Emmaus;Centro Accoglienza Albero Della Vita;Via Vitoli, 14 Castiglione Dei Genovesi;40.724578, 14.850801;www.emmaussalerno.it;089861955;direzione@emmaussalerno.it;Area Minori;Accoglienza residenziale minori; La Comunità di accoglienza di tipo residenziale ospita gestanti, nuclei familiari monogenitoriali e donne in difficoltà. Offre una serie di servizi primari e secondari, garantendone la continuità nell’arco delle 24 h per tutto l’anno.
Emmaus;I Papaveri;Via Nizza, 134/C Salerno;40.680256, 14.771683;www.emmaussalerno.it;089861955;direzione@emmaussalerno.it;Area Minori;Accoglienza residenziale minori; La Comunità alloggio accoglie minori dai 13 ai 18 anni, in regime residenziale, minori stranieri in stato di abbandono o con situazioni familiari problematiche, a rischio emarginazione sociale ed a rischio psico-patologico.
Emmaus;Oltre I Confini;Via Pizzi, 9 Castiglione Dei Genovesi (SA);40.724125, 14.849915;www.emmaussalerno.it;089861955;direzione@emmaussalerno.it;Area Minori;Accoglienza residenziale minori; 
Emmaus;L’albero Della Vita;Via Vitoli, 8 - Castiglione Dei Genovesi (SA);40.724528, 14.849869;www.emmausalerno.it;089861955;direzione@emmaussalerno.it;Area Contrasto Alla Povertà;Accoglienza donne maltrattate e Donne con bambini; La Comunità di accoglienza di tipo residenziale ospita gestanti, nuclei familiari monogenitoriali e donne in difficoltà. Offre una serie di servizi primari e secondari, garantendone la continuità nell’arco delle 24 h per tutto l’anno.
Emmaus;Oltre i confini;Via Pizzi, 9 - Castiglione dei Genovesi (SA);40.724125, 14.849915;www.emmaussalerno.it;089861955;direzione@emmaussalerno.it;Area Immigrazione;Progetto SAI; La Comunità alloggio è inserita nel circuito del servizio centrale per la protezione dei richiedenti asilo (SPRAR MINORI). La struttura accoglie minori non accompagnati dai 13 ai 18 anni.
Etm;La Casa Di Manuela;Via Cavalieri Di Vittorio Veneto, 19 - 81034 Mondragone (CE);41.104737, 13.888820; ; ; ;Area Immigrazione;Accoglienza residenziale MSNA; 
Faber;Faber;Via Lo Fiengo, 29 - Calvi (BN);40.724125, 14.849915;www.serviziaiminori.it;0824 338068;coop.faber@libero.it;Area Minori;Accoglienza residenziale minori; 
Figlie Della Carità Preziosissimo Sangue;Tommaso Maria Fusco;Via Rocco Cocchia, 37 Salerno;40.664009, 14.797311; ;089 752881; c.famiglia@tiscali.it;Area Minori;Accoglienza residenziale minori; 
Fili D'Erba - Cooperativa Sociale;Gulliver;Via Rocco Cocchia, 189, 84132 Salerno (SA);40.664426, 14.802320;www.coopfiliderba.it;3271191110;info@coopfiliderba.it;Area Minori;Accoglienza semi residenziale minori; Centro polifunzionale semiresidenziale che accoglie ragazzi di età compresa tra i 14 e i 18 anni. È caratterizzato da una molteplicità di interventi e si propone come sollecitatore e promotore delle risorse esistenti nel ragazzo, finalizzati alla prevenzione di situazioni di disagio.
Fili D'Erba - Cooperativa Sociale;Anthos;Via Trento, 177 Salerno;40.658459, 14.801855;www.coopfiliderba.it;089727317;info@coopfiliderba.it;Area Minori;Accoglienza semi residenziale minori; Centro diurno polifunzionaole che ospita minori dai 6 ai 13 anni. Si configura come un servizio di accoglienza volto a garantire una proposta educativa della famiglia, finalizzata al supporto e alla prevenzione di situazioni di disagio. La finalità di questo intervento consiste nella promozione del benessere sociale dei minori e delle famiglie tramite attività che offrono esperienze di crescita e socializzazione.
Fili D'Erba - Cooperativa Sociale;Ippocampo;Via Largo Moscati, 9 Int. 6 Salerno (SA);40.660064, 14.811412;www.coopfiliderba.it;3806467440;info@coopfiliderba.it;Area Minori;Accoglienza semi residenziale minori; Centro diurno polifunzionale semiresidenziale rivolto ai minori di età compresa tra i 6 e i 13 anni. Il centro vuole offrire un contesto adeguato a rappresentare un riferimento sicuro e una presenza stabile dal punto di vista affettivo, realizzando una situazione che renda possibile la socializzazione tra minori e l’identificazione con figure adulte significative.
Fili D'Erba - Cooperativa Sociale;Casa Dolce Casa;Via Vanvitelli, 13/A - 84091 Battipaglia (SA);40.616658, 14.963938;www.coopfiliderba.it;3333793606;info@coopfiliderba.it;Area Immigrazione, Area Minori;"Accoglienza residenziale minori
Accoglienza residenziale minori MSNA"; Struttura a carattere residenziale rivolta ai minori di sesso maschile di età compresa tra i 13 e 18 anni. Il servizio prevede l’accoglienza e la cura dei minori, una costante azione educativa, assistenza e tutela, gestione della quotidianità e organizzazione della vita, così come avviene nel normale clima familiare, coinvolgimento del minore in tutte le attività di espletamento della vita quotidiana.
Fili D'Erba - Cooperativa Sociale;;Via Salvo D’Acquisto, 11 - Salerno (SA);40.664284, 14.795573;;089 727317;;Area Responsabilità Familiari;Nido d’infanzia - Mamme in rete;
Fondazione Anffas Salerno Giovanni Caressa Onlus;Fondazione Anffas Salerno;Via Del Tonnazzo, 83 - 84100 Salerno (SA);40.652645, 14.853374;www.fondazioneanfassalerno.it  ;"089302393
089303077";fondazioneanfas.salerno@gmail.com;Area Integrazione Socio-Sanitaria;"Centro Diurno Integrato
Trasporto collettivo disabili"; Fondazione che nasce nel 2009 e che offre supporto alle persone con disabilità, supporto alle famiglie, supporto agli operatori e professionisti, lavoro sulla comunità e attività di advocacy e tutela dei diritti.
Fondazione Anffas Salerno Giovanni Caressa Onlus;"Centro di Riabilitazione ""Leucosia"" Fondazione ANFFAS Salerno";Via Leucosia, 16 - Salerno (SA);40.654260, 14.806580;;089 338931;;Area Disabilità;Trasporto collettivo disabili;
Fondazione Casamica;"Co-Housing ""Dopo Di Noi""";Via Mare Adriatico,9 84098 Pontecagnano  (SA);40.618117, 14.860764;www.retesolidale.it;089 2582245;info@retesolidale.it;Area Disabilità;Gruppo Appartamento per persone adulte affette da disagio psichico stabilizzato; Rappresenta una soluzione alloggiativa innovativa per persone con disabilità grave, per le quali si prevede un percorso programmato di de-istituzionalizzazione e di accompagnamento verso l’autonomia sociale. Accoglie e soddisfa le specifiche esigenze di residenzialità di massimo 5 ospiti in condizione di disabilità grave.
Fondazione Casamica;Casal Fauastino / Sirmiv;Via L. D'Alessio,84095, Giffoni Valle Piana (SA);40.690607, 14.926903;www.retesolidale.it;089 2582245;sirmiv@retesolidale.it;Area Minori;; Struttura dotata di 10 posti letto specializzata nel trattamento psicoterapeutico e psichiatrico di minori preadolescenti e adolescenti, di età compresa tra i 10 e i 18 anni, con psicopatologie che non possono essere gestite nell’ambito del sistema familiare.
Fondazione Casamica;Villa Angela;Via Fratelli Cairoli, 51 84092 Bellizzi (SA);40.620269, 14.941697;www.retesolidale.it;089 2582245;villa.angela@retesolidale.it;Area Integrazione Socio-Sanitaria;Casa alloggio a bassa attività assistenziale; Fondazione specializzata per ospitare pazienti affetti da patologie croniche e cardiache, broncopolmonari, neurologiche, vascolari di natura arterosclerotica, vascolari da epatopatie degenerative. Garantisce un iter diagnostico-terapeutico opportuno ed all’avanguardia.
Fondazione Casamica;Dolce Risveglio;Via Moio Alto, 84043, Agropoli (SA);40.342908, 14.993114;www.retesolidale.it;089 2582245;dolcerisveglio@retesolidale.it;Area Integrazione Socio-Sanitaria;Casa alloggio a bassa attività assistenziale; Fondazione destinata ad adulti sofferenti psichici che attraverso le attività occupazionali e ludico-creative, potranno essere restituiti al tessuto sociale.
Fondazione Casamica;Padre Lorenzo Natiello;Via Longa, 4,84099, San Cipriano Picentino (SA);40.698275, 14.874651;www.retesolidale.it;089 2582245;padrelorenzonatiello@retesolidale.it;Area Integrazione Socio-Sanitaria;Casa alloggio a bassa attività assistenziale; 
Fondazione Casamica;Casal Del Noce;Via San Pietro, 1 84090, Giffoni Sei Casali (SA);40.698338, 14.897577;www.retesolidale.it;089 2582245;casaldelnoce@retesolidale.it;Area Integrazione Socio-Sanitaria;Casa alloggio a bassa attività assistenziale;"La comunità alloggio denominata “Casal Del Noce” sorge sulle colline dei Monti Picentini ed completamente immersa nel verde.
La struttura disposta su quattro livelli è dotata di 12 posti letto e di ampi spazi all’interno destinati alle attività di relax (sala tv, ping-pong, calcetto, carambola, ecc.).
La struttura dispone di 20 mila mq di terreno coltivato dove oltre alle coltivazioni in serra è attivo un allevamento ippico con fattrici certificate UNIRE (Unione Nazionale Incremento Razze Equine).
Casal Del Noce e Nonno Emilio 2 si distinguono dalle altre strutture per una caratteristica comune ovvero la realizzazione di progetti di avviamento al lavoro dove il paziente diventa protagonista della propria vita, al fine di favorire l’acquisizione di una maggiore autonomia."
Fondazione Casamica;La Collina;Via Subia, 45 ,84084, Fisciano (SA);40.753431, 14.813446;www.retesolidale.it;089 2582245;lacollina@retesolidale.it;Area Integrazione Socio-Sanitaria;Casa alloggio a bassa attività assistenziale; 
Fondazione Casamica;Nonno Emilio;Via Mar Adriatico, 11, 84098, Pontecagnano Faiano (SA);40.618004, 14.860816;www.retesolidale.it;089 2582245;nonnoemilio@retesolidale.it;Area Integrazione Socio-Sanitaria;Casa alloggio a bassa attività assistenziale; Comunità alloggio consistente in una villetta su due piani, munita di camere da letto singole e doppie, assicura servizi igienici, sala mensa e spazi comuni adibiti a laboratori, sala relax e tv, con capienza massima di 9 persone. Nella struttura si conduce un’esperienza di vita comunitaria, vicina al modello familiare, in ambiente affettivamente ricco e in grado di consentire legami stabili e duraturi.
Fondazione Casamica;Casalbergo F. Villani;Via E. De Filippo, 1,83011, Altav.Irpina (AV);41.004969, 14.779118;www.retesolidale.it;089 2582245;casalbergovillani@retesolidale.it;Area Persone Anziane;Casa albergo residenziale; Fondazione di due piani su cui sono distribuiti spazi comuni adibiti a laboratori, sala relax e tv, camere da letto singole e doppie, per un totale di 34 posti letto, la quale ospita ultrasessantacinquenni in stato di bisogno sociale senza un nucleo familiare che li possa accudire e con ridotta autonomia.
Fondazione Casamica;Gruppo Appartamento Villa Acquamare;Via Longa, 1 84099, San Cipriano Picentino (SA);40.698275, 14.874651;www.retesolidale.it;089 2582245;info@retesolidale.it;Area Disabilità;Gruppo Appartamento per persone adulte affette da disagio psichico stabilizzato;Struttura residenziale che riproduce un ambiente familiare in grado di accogliere e soddisfare le esigenze personali di 5 ospiti, con un basso livello di protezione, ma con la necessità di un supporto materiale e di sostegno emotivo nella cura della persona e nella gestione della casa.
Fondazione Casamica;Gruppo Appartamento Casamia;"Via P. Sichelgaita,33, 84126 Salerno (SA)
Via Fulgenzio D’Allora, 5 - Salerno (SA)";40.685770, 14.771055;www.retesolidale.it;089 2582245;info@retesolidale.it;Area Disabilità;Gruppo Appartamento per persone adulte affette da disagio psichico stabilizzato;La struttura, composta da cinque posti letto, offre una situazione abitativa che agevoli il processo di integrazione sociale con persone affette da disturbi psichici attraverso interventi riabilitativi e terapeutici attuati nella quotidianità della “casa”.
Gea Società Cooperativa Sociale;Sede Legale;Piazza Corsano, 8, 84010, Tramonti (SA);40.703432, 14.635452;www.coopgea.org;089 876135;gare@coopgea.org;Area Integrazione Socio-Sanitaria;Assistenza Domiciliare Integrata (ADI);Le attività della cooperativa sono finalizzate alla soddisfazione dei bisogni delle persone, alla difesa e alla tutela dei diritti umani, all’integrazione delle risorse territoriali e allo sviluppo locale. Le prestazioni dei servizi mirano a soddisfare bisogni fondamentali, come garantire ai cittadini la permanenza nel proprio di vita in condizioni di massima autonomia, di fornire risposte alle esigenze nella gestione della vita quotidiana.
Gea Società Cooperativa Sociale;Sede Legale;Piazza Corsano, 8, 84010, Tramonti (SA);40.703432, 14.635452;www.coopgea.org;089 876135;gare@coopgea.org;Area Disabilità;Assistenza specialistica all’integrazione scolastica per alunni con disabilità;Le attività della cooperativa sono finalizzate alla soddisfazione dei bisogni delle persone, alla difesa e alla tutela dei diritti umani, all’integrazione delle risorse territoriali e allo sviluppo locale. Le prestazioni dei servizi mirano a soddisfare bisogni fondamentali, come garantire ai cittadini la permanenza nel proprio di vita in condizioni di massima autonomia, di fornire risposte alle esigenze nella gestione della vita quotidiana.
Gea Società Cooperativa Sociale;Maria Grazia Gargano;Corso Vittorio Emanuele II, 40 - Sant’Angelo dei Lombardi (AV);40.927077, 15.178496;www.coopgea.org;0825679311;segreteria@cooperativaintra.it;Area Integrazione Socio-Sanitaria;Comunità tutelare; Struttura tutelare per persone non autosufficienti ed anziani, offre comode camere e ampi spazi dedicati alle attività individuali di gruppo e all’accoglienza delle famiglie. I servizi offerti sono mirati al recupero e al mantenimento del benessere fisico e psichico degli ospiti, garantendo un’assistenza completa e qualificata con professionisti specializzati.
Gea Società Cooperativa Sociale;Villa San Gallo;Via Cotugno - Roccabascerana (AV);41.017174, 14.718354;www.coopgea.org;08251856029;info@casadiriposoavellino.it;Area Integrazione Socio-Sanitaria;Comunità tutelare;La struttura offre ambienti luminosi, ampi spazi interni ed esterni dotati di ogni tipo di confort per persone con ridotta mobilità.
Giovamente;Ohana;Via Spirito Santo, 2 Pellezzano (SA);40.729972, 14.759175;www.cooperativa.giovamente.it;0892751075; ;Area Minori;Accoglienza semi residenziale minori;Centro diurno polifunzionale che accoglie minori dai 4 ai 17 anni in regime di semiresidenzialità. Dispone di una stanza per gli incontri protetti usufruibile dagli assistenti sociali su richiesta. Al suo interno si svolgono attività ludiche, di laboratorio e recupero scolastico a seconda delle esigenze e dell’età dei soggetti interessati.
Giovamente;Neverland;Via Picenza, 20 - 84100 Salerno (SA);40.657643, 14.803610;www.cooperativa.giovamente.it;089568174; ;Area Immigrazione;Accoglienza residenziale;La Comunità è volta a promuovere, progettare e realizzare interventi a favore di minori abbisognevoli di accoglienza, orientamento e accompagnamento. Garantisce il supporto a percorsi di inclusione sociale e lavorativa ed all’acquisizione di pari opportunità di cittadinanza.
Giovamente;La Tela Di Carlotta;Via Casa Greco, 7 - Mercato San Severino (SA);40.774132, 14.729388;www.cooperativa.giovamente.it;089894629; ;Area Minori;Accoglienza residenziale minori; 
Giovamente;Life Is A Game;Via Moscani, 2 - Salerno (SA);40.674607, 14.797449;www.cooperativa.giovamente.it;3803775147;;Area Disabilità;Ludoteca sociale per bambini con disturbo dello spettro autistico;Il progetto consiste in incontri ricreativi con bimbi affetti dal disturbo dello spettro autistico e\o diverse difficoltà unitamente ai propri genitori. Il gioco diventa uno strumento e un canale di comunicazione, di integrazione e socializzazione.
Giovamente;Sede Legale;Via A. Nicolodi, 12 Salerno (SA);40.729972, 14.759175;www.cooperativa.giovamente.it;0892751075;cooperativa@giovamente.it;Area Disabilità;Assistenza specialistica all’integrazione scolastica per alunni con disabilità;La cooperativa punta a prendersi cura della persona attraverso servizi socioassistenziali ed educativi rivolti a famiglie, minori e persone con disabilità, minori stranieri non accompagnati, procurando inoltre un’occupazione qualificata e continuativa ai propri soci.
"Gruppo Appartamento ""La Tana Di Dimitri""";Gruppo Appartamento;Piazza D'armi, 10 - 84128 Salerno (SA);40.667450, 14.789320;www.ilvillaggiodiesteban.it;089 3180532;tanadidimitri@gmail.com;Area Disabilità;Gruppo Appartamento per persone adulte affette da disagio psichico stabilizzato;Servizio residenziale a carattere familiare con basso livello di protezione per persone adulte con disagio psichico stabilizzate e uscite dal circuito terapeutico-riabilitativo psichiatrico, che non necessitano di assistenza sanitaria continuativa e che optano per una scelta di convivenza nel contesto di una soluzione abitativa autonoma.
I.sa.ma Srl;Isama;Via Dei Sarrasti, 2 - 84014 Nocera Inferiore (SA);40.739212, 14.644287;www.gruppoisama.it;0815170154;info@gruppoisama.it;Area Integrazione Socio-Sanitaria;Residenza Sanitaria Assistita (RSA) Anziani;Dal 1986 fornisce prestazioni sanitarie avanzate con due centri di dialisi e un RSA convenzionati con SSN e un centro fisioterapico attivo sul territorio
Il Giardino Del Tempo;Il Giardino Del Tempo;Via O. Granozio, 38/40 - 84095 Giffoni Valle Piana (SA);40.708670, 14.930460; ;3476643897;giardinodeltempo.2017@gmail.com;Area Immigrazione;Accoglienza residenziale MSNA;Svolge attività volte alla promozione ed integrazione sociale degli anziani, attraverso l’organizzazione e la gestione di servizi socio-sanitari, psico-sociali, educativi e di formazione. E’ una comunità residenziale e semiresidenziale con attività creative che consentono alla persona anziana di essere attiva sia dal punto di vista psichico che fisico.
Il Giardino Dell'Eden;Nonno Arturo;Via Tufariello, 24/C - 84091 Battipaglia (SA);40.576613, 14.940962; ;3451617169;portofranco93@gmail.com;Area Immigrazione;Accoglienza residenziale MSNA;Accoglie i minorenni provenienti da contesti familiari complicati o con precedenti penali al fine di reinserirli all’interno della società.
Il Girasole Società Cooperativa Sociale;Sede Legale;Via San Leonardo - Traversa Migliaro snc;40.649415, 14.831839;www.cooperativasociale.it;089 7266595;info@cooperativasociale.it;Area Integrazione Socio-Sanitaria;Assistenza Domiciliare Integrata (ADI);Adotta un sistema di qualità certificata ISO9001:2015 con certificato numero 24315\02\S emesso dall’ente certificato RE RINA. Selvazzano dentro per i seguenti campi di attività: progettazione ed erogazione di servizi socio-sanitari ed educativi semiresidenziali e residenziali, rivolti a persone con disabilità.
Il Girasole Società Cooperativa Sociale;Officina Delle Idee;Via San Leonardo - Traversa Migliaro snc;40.649415, 14.831839;www.cooperativasociale.it;0897266595;info@cooperativasociale.it;Area Disabilità;"Centro Diurno Polifunzionale per persone con disabilità
Trasporto collettivo disabili"; 
"Il Girasole Società Cooperativa Sociale
Prometeo 82";Servizio a domicilio;;;;;;Area Responsabilità Familiari;Baby sitting;
"Il Girasole Società Cooperativa Sociale
Prometeo 82
Fili D'Erba - Cooperativa Sociale";Servizio a domicilio;;;;;;Area Responsabilità Familiari;Progetto ITIA - Educativa domiciliare;
Il Ponte;I Girasoli 2;Via San Giacomo ai Poveri, 11 - Mercato San Severino (SA);40.785130, 14.760692;www.centrolatenda.it;0892590152;ilponte@centrolatenda.it;Area Immigrazione;Progetto SAI;Una realtà socioeducativa che ospita un massimo di otto minori di età compresa tra gli 11 e 18 anni, di ambo i sessi, deprivati delle cure necessarie ad un idoneo sviluppo socioaffettivo. Si propone di garantire ai ragazzi una significativa crescita personale e socio-culturale, al fine di sostenerli nell’acquisizione di un idoneo bagaglio valoriale e formativo per una concreta integrazione socio-familiare o in prospettiva per la realizzazione di progetti di autonomia e di integrazione socio lavorativa.
Il Ponte;Il Melograno;Via Brignano Inferiore, 63 - Salerno (SA);40.690807, 14.786222;www.centrolatenda.it;;ilponte@centrolatenda.it;Area Immigrazione;Progetto SAI;Centro per bambini maltrattati e la cura della crisi familiare.
Il Ponte;Il Biancospino;Via Alfredo Capone, 59 - Salerno (SA);40.680081, 14.776071;www.centrolatenda.it;089481820;ilponte@centrolatenda.it;Area Immigrazione;Progetto SAI; 
Il Sentiero;La Roccia;Via Virlingieri, Snc - 84030 Sanza (SA);40.244841, 15.550223; ;3939257441;info@cooperativailsentiero.it;Area Immigrazione;Accoglienza residenziale MSNA; 
Il Sogno - Cooperativa Sociale;I Ragazzi Di Padre Tobia;Via Rufoli, Snc, Salerno (SA);40.701186, 14.814203;www.coopilsogno.it;; ;Area Minori;Accoglienza semi residenziale minori; Recupero del disagio e promozione dell’agio e del benessere dei minori e dei giovani. Favorisce la crescita, maturazione individuale e la socializzazione del minore con i coetanei. Promuove nel sociale l’ottica preventiva e promozionale attraverso il lavoro del gruppo di progettazione formativa ed educativa della cooperativa. Promuove ed incrementa le forme di integrazione sociale che hanno come scopo lo sviluppo integrale della persona.
Il Sollievo;Charlot;Corso Vittorio Emanuele, 85 - 84012 Angri (SA);40.744682, 14.574585;www.coopilsollievo.it;0981940857;coopilsollievo@libero.it;Area Immigrazione;Accoglienza residenziale MSNA; La Comunità alloggio è un servizio educativo residenziale a carattere comunitario, caratterizzato dalla convivenza di un gruppo di giovani, con la presenza di operatori professionali che assumono la funzione di adulti di riferimento. Assicura il funzionamento nell’arco delle 24h per tutto l’anno, accoglienza e cura dei giovani, costante azione educativa, assistenza e tutela, gestione della quotidianità, attività socio educative volte ad un adeguato sviluppo dell’autonomia individuale, coinvolgimento dei giovani in tutte le attività di espletamento della vita quotidiana come momento a forte valenza educativa, inserimento in attività formative e di lavoro, stesura di progetti educativi individualizzati, gestione delle emergenze, socializzazione e animazione. L’equipe che opera nel servizio mette in atto azioni volte a dare risposta ai bisogni dei minori, alla realizzazione del piano individuale, al rientro nei propri contesti familiari, ovvero alla realizzazione di programmi di affido o di adozione. Accoglie minori di età compresa tra 13 e i 18 anni.
Il Tempio Della Felicità Di Mary;Il Tempio Della Felicità Di Mary;Via Risorgimento, 2 - 80023 Caivano (NA);40.959461, 14.307468; ;0818307277;iltempiodimary@libero.it;Area Immigrazione;Accoglienza residenziale MSNA; Comunità alloggio per ragazzi con situazioni di disagio personale e familiare nata nel 2015 che ospita migranti stranieri e adolescenti tra gli 11 e i 17 anni di età.
Il Villaggio Di Esteban;Il Bosco Di Bistorco;Via Parmenide, 98/100, 84131 Salerno (SA);40.656316, 14.804614;www.ilvillaggiodiesteban.it;;direzione@ilvillaggiodiesteban.it;Area Minori;Accoglienza semi residenziale minori; Il Centro diurno polifunzionale è un servizio articolato in spazi multivalenti, che si colloca nella rete dei servizi sociali territoriali. Offre possibilità di aggregazione finalizzata alla prevenzione di situazioni di disagio attraverso proposte di socializzazione tra minori e di identificazione con figure adulte significative. Offre sostegno e supporto alle famiglie.
Il Villaggio Di Esteban;Porta Di Mare;"Via Marco Galdi, 14 - 84129 Salerno (SA)
Trasferita In Via Acquasanta, 27/29";40.634116, 14.844778;www.ilvillaggiodiesteban.it; ;direzione@ilvillaggiodiesteban.it;Area Immigrazione;Accoglienza residenziale MSNA; La Cooperativa Il Villaggio di Esteban realizza la propria missione attraverso la promozione di interventi sociali, sanitari, educativi, formativi, culturali, animativi per rispondere in maniera efficace ed incisiva ai bisogni dell’infanzia, dei bambini e ragazzi difficili, delle persone con disabilità fisica e psichica e con disagio mentale, degli anziani e delle famiglie multi-problematiche.
Il Villaggio Di Esteban;Tamburo Di Latta;Via Posidonia 163, Salerno (SA);40.667646, 14.789644;www.ilvillaggiodiesteban.it; ;direzione@ilvillaggiodiesteban.it;Area Minori;Accoglienza residenziale minori;"La casa famiglia costituisce una proposta educativa integrativa alla famiglia. Ospita minori per i quali non è al momento praticabile l’affido.
Assicura: -il funzionamento nell’arco delle 24h per tutto l’anno;
accoglienza e cura dei minori; - costante azione educativa, assistenza e tutela, gestione della quotidianità ed organizzazione della vita alla stregua di quanto avviene nel normale clima familiare, con il coinvolgimento dei minori.
la stesura di progetti educativi individualizzati, la gestione delle emergenze, la socializzazione e l’animazione; - azioni volte a dare risposta ai bisogni dei minori, alla realizzazione del progetto educativo individualizzato, al rientro nei propri contesti familiari, ovvero alla realizzazione di programmi di affido o di adozione."
Insieme;La Casa Di Kirikù;Via Umberto D'agostino, 12 Salerno;40.659703, 14.855317; ;3938518615;alloggio@insiemesa.it;Area Minori;Accoglienza residenziale minori;La comunità alloggio si configura come luogo nel quale si esplica un percorso educativo di tipo residenziale temporaneo, che va dal momento della presa in carica del minore al suo reinserimento familiare e sociale. Si rivolge prevalentemente a minori nella fascia di età che va dagli 11 ai 18 anni allontanati dalle famiglie che presentano situazioni di disagio sociale, familiare, personale o si trovano in condizioni di precarietà e fragilità.
Insieme;Centro per la Famiglia;Via S. Leonardo,161 - 84131 Salerno (SA);40.647150, 14.830167;www.insiemesa.it;089 9951873;insieme@pec.it;Area Responsabilità Familiari;"Centro per la famiglia
Servizio di mediazione familiare";
Insieme a Piazza San Giovanni;La Casa Di Giona;Corso Nazionale, 171 - 84018 Scafati (SA);40.750165, 14.521064; ;3929211290;coopsoc.insieme03@libero.it;Area Immigrazione;Accoglienza residenziale MSNA;La comunità alloggio consiste in un servizio residenziale che si propone di fornire una risposta educativo-assistenziale-affettiva ai minori. É aperta tutto l’anno garantendo assistenza e sostegno agli ospiti nell’arco delle 24h. La soluzione abitativa è costituita da un appartamento in cui la distribuzione interna ed esterna è funzionale alle esigenze dei minori.
